Abstimmung	AfD	Die Linke	Bündnis 90/Die Grünen	Fraktionslos	SPD	CDU/CSU	FDP	BSW	
020-074-01	0.0	-1	1.0	0.0	1.0	0.0	1.0	-1	
020-074-02	0.0	-1	1.0	0.0	1.0	0.0	1.0	-1	
020-076-01	0.0	-1	1.0	0.0	1.0	0.0	1.0	-1	
020-076-02	1.0	-1	1.0	0.5	1.0	0.0	1.0	-1	
020-092-01	0.06818181818181818	0.0	1.0	0.25	0.9898477157360406	0.0	1.0	-1	
020-093-01	0.0	0.0	0.9805825242718447	0.2	0.9890710382513661	1.0	1.0	-1	
020-094-01	0.734375	0.0	0.9906542056074766	0.4	0.9949748743718593	1.0	1.0	-1	
020-095-01	1.0	0.0	0.0	0.5	0.0	1.0	0.0	-1	
020-095-02	1.0	0.0	0.0	0.8	0.0	1.0	0.0	-1	
020-096-01	0.0	1.0	1.0	0.3333333333333333	1.0	0.9883720930232558	1.0	-1	
020-097-02	0.0	0.0	1.0	0.25	1.0	0.0	1.0	-1	
020-099-01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	-1	
020-099-02	0.0	1.0	1.0	0.5	1.0	0.0	1.0	-1	
020-099-03	0.031746031746031744	0.0	0.9906542056074766	0.25	1.0	1.0	1.0	-1	
020-101-01	-1	0.0	0.0	0.0	0.0	1.0	0.0	-1	
020-101-02	0.0	0.0	0.990990990990991	0.0	0.9945652173913043	0.9937888198757764	1.0	-1	
020-101-03	1.0	0.0	0.0	0.75	0.0	0.006493506493506494	0.0	-1	
020-102-01	0.0	1.0	1.0	0.2	1.0	0.0	1.0	-1	
020-102-02	1.0	0.0	0.0	0.8	0.0	0.0	0.0	-1	
020-103-01	0.0	1.0	1.0	0.2	1.0	0.0	1.0	-1	
020-104-01	0.0	1.0	1.0	0.3333333333333333	1.0	0.9931972789115646	1.0	-1	
020-107-01	0.0	0.0	1.0	0.0	1.0	0.0	1.0	-1	
020-107-02	0.0	0.0	1.0	0.2	0.9894736842105263	0.0	1.0	-1	
020-107-03	0.01639344262295082	0.0	1.0	0.6	0.9945054945054945	1.0	1.0	-1	
020-109-01	1.0	0.0	1.0	1.0	1.0	1.0	1.0	-1	
020-109-03	0.0	0.0	1.0	0.0	1.0	1.0	1.0	-1	
020-109-04	-1	1.0	1.0	-1	1.0	1.0	1.0	-1	
020-113-01	0.0	-1	1.0	0.0	1.0	0.0	1.0	-1	
020-113-02	0.3333333333333333	1.0	0.0	-1	0.005434782608695652	1.0	0.02564102564102564	-1	
020-113-03	0.018867924528301886	0.0	0.9902912621359223	0.0	0.9942528735632183	1.0	1.0	-1	
020-113-04	0.0	0.0	0.9900990099009901	0.0	1.0	1.0	1.0	-1	
020-115-01	0.07352941176470588	0.3055555555555556	0.4144144144144144	0.0	0.3263157894736842	0.848314606741573	0.35	-1	
020-115-02	0.1	0.8	0.6568627450980392	0.5	0.6737967914438503	0.01639344262295082	0.6625	-1	
020-115-03	1.0	1.0	1.0	1.0	0.9949494949494949	1.0	1.0	-1	
020-115-04	0.0	0.0	0.0	0.25	0.0	1.0	0.0	-1	
020-116-01	0.0	0.0	0.9339622641509434	0.0	0.984375	0.0	1.0	-1	
020-120-01	0.0	0.0	1.0	0.2	1.0	0.0	1.0	-1	
020-120-02	1.0	0.0	1.0	1.0	1.0	1.0	0.9882352941176471	-1	
020-121-01	1.0	0.0	0.0	0.75	0.0	0.0	0.0	-1	
020-122-01	1.0	1.0	0.0	1.0	0.0	1.0	0.0	-1	
020-122-02	1.0	1.0	0.0	1.0	0.0	1.0	0.012345679012345678	-1	
020-125-01	0.0	1.0	1.0	0.2	1.0	1.0	1.0	-1	
020-130-01	0.0	0.0	0.9906542056074766	0.2	1.0	0.9943502824858758	1.0	-1	
020-132-01	0.0	0.0	1.0	0.3333333333333333	1.0	0.0	1.0	-1	
020-135-01	0.0	0.75	1.0	0.0	1.0	1.0	1.0	-1	
020-135-02	1.0	0.0	0.0	0.8	0.0	0.0	0.0	-1	
020-135-03	1.0	0.0	0.0	0.8	0.0	0.0	0.0	-1	
020-137-01	1.0	0.2692307692307692	0.0	0.8	0.0	1.0	0.022727272727272728	-1	
020-137-02	0.0	0.0	1.0	0.0	1.0	0.005780346820809248	1.0	-1	
020-138-01	0.0	0.6666666666666666	1.0	0.5	1.0	0.0	1.0	-1	
020-141-01	1.0	0.0	1.0	1.0	1.0	1.0	1.0	-1	
020-141-02	0.0	1.0	1.0	0.0	1.0	1.0	1.0	-1	
020-142-01	0.0	0.0	1.0	0.25	1.0	1.0	1.0	-1	
020-145-01	0.0	-1	1.0	0.8888888888888888	1.0	0.0	1.0	-1	
020-145-02	0.0	-1	1.0	0.02857142857142857	1.0	0.0	1.0	-1	
020-145-03	1.0	-1	0.0	0.08823529411764706	0.0	0.0	0.0	-1	
020-145-04	0.0	-1	1.0	0.6764705882352942	1.0	1.0	1.0	-1	
020-145-05	0.0	-1	1.0	0.0	1.0	0.0	1.0	-1	
020-146-01	0.014492753623188406	-1	0.0	0.027777777777777776	0.0	0.9887640449438202	0.0	-1	
020-147-01	0.6	-1	0.0	0.06060606060606061	0.0	1.0	0.0	-1	
020-147-02	0.0	-1	1.0	0.9459459459459459	1.0	1.0	1.0	-1	
020-148-01	0.0	-1	1.0	0.8	1.0	0.0	0.9743589743589743	-1	
020-150-01	0.0	-1	1.0	0.023809523809523808	1.0	0.0	1.0	-1	
020-151-01	0.0	-1	1.0	0.0	1.0	0.0	1.0	-1	
020-152-01	1.0	-1	0.0	1.0	0.0	1.0	0.045454545454545456	-1	
020-152-02	0.0	-1	1.0	0.024390243902439025	1.0	0.0	1.0	-1	
020-152-03	1.0	-1	0.0	0.10256410256410256	0.0	0.0	0.0	-1	
020-154-01	0.015151515151515152	0.0	0.0	0.3333333333333333	0.0	0.9944444444444445	0.011627906976744186	0.0	
020-154-02	0.0	0.0	1.0	0.5	1.0	0.0	1.0	0.0	
020-155-01	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
020-155-02	0.018518518518518517	1.0	1.0	1.0	0.978021978021978	0.0	0.9879518072289156	0.8333333333333334	
020-155-03	0.926829268292683	0.0	0.9900990099009901	1.0	0.9887640449438202	1.0	1.0	0.0	
020-157-01	0.9848484848484849	1.0	1.0	0.5	1.0	0.016129032258064516	0.9767441860465116	1.0	
020-159-01	0.0	1.0	1.0	0.2	1.0	1.0	1.0	1.0	
020-160-02	0.0	0.0	0.981651376146789	0.3333333333333333	0.9895287958115183	0.9945054945054945	1.0	0.0	
020-160-03	0.803030303030303	0.0	0.9905660377358491	0.8	0.9945945945945946	0.9945054945054945	1.0	0.0	
