poll	'GRUENE'	'OEDP'	'BUENDNISC'	'ALFA'	'DIEPARTEI'	'AFD'	'NPD'	'BLAUE'	'LINKE'	'FDP'	'CDU/CSU'	'individual'	'FREIEWAEHLER'	'PIRATEN'	'SPD'
fdf2cb7b-4680-4015-b527-3ab21fd8a49f	1.0	1.0	1.0	1.0	0.0	0.0	-1	0.0	1.0	1.0	0.966666666667	1.0	1.0	1.0	1.0
e2dfb814-8dc6-4132-b354-a4b0dffdde4b	1.0	1.0	0.0	0.0	-1	0.0	-1	0.0	1.0	0.333333333333	0.190476190476	1.0	1.0	1.0	1.0
5a8c8da9-aec3-4170-9d52-8f051e68123f	1.0	1.0	-1	1.0	-1	0.0	1.0	0.0	1.0	1.0	0.535714285714	-1	1.0	-1	1.0
e784ad92-3bf7-45b4-884d-e8c7320dd90c	1.0	1.0	-1	1.0	0.0	0.0	-1	0.0	0.75	1.0	1.0	1.0	1.0	1.0	1.0
83ca30d0-39f2-488a-b244-91a92720d57f	0.0	-1	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.285714285714
45917026-c95e-4086-976e-5764bfd65f3c	0.0	0.0	1.0	1.0	0.0	-1	1.0	0.0	0.0	1.0	1.0	-1	1.0	0.0	1.0
22d29168-1eee-4865-9006-66414e114f91	1.0	1.0	-1	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
c73d817d-e0e9-4c2b-84dc-0375e8c4934d	1.0	1.0	-1	1.0	0.0	-1	-1	-1	1.0	1.0	1.0	1.0	1.0	-1	1.0
c4bfb817-ccc5-425f-b00b-cc43756ccf5d	1.0	-1	1.0	1.0	1.0	-1	1.0	0.0	1.0	1.0	1.0	1.0	-1	1.0	1.0
4cf62b4b-59a5-4a9c-aae9-17ebf3700446	1.0	1.0	0.0	0.25	-1	-1	0.0	0.0	0.666666666667	1.0	0.96	1.0	1.0	1.0	1.0
fbf77ecf-2d7f-414f-83d0-3d55e6eeb186	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-1	0.666666666667	1.0	1.0	-1	1.0	1.0	0.95652173913
5ec1c8eb-b80b-4a18-a0cb-c2054067ba2e	0.909090909091	1.0	-1	1.0	0.0	0.0	1.0	-1	1.0	1.0	0.928571428571	1.0	-1	1.0	1.0
7365b1f6-26f2-4241-83d2-12c712fbf2a4	1.0	1.0	0.0	0.2	-1	-1	1.0	0.0	1.0	1.0	1.0	1.0	-1	1.0	1.0
13befa08-99ea-4b67-9db2-34d9e3f128a8	0.909090909091	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.935483870968	1.0	1.0	1.0	1.0
fe2780f4-81e2-419d-a7f1-61776c547cfa	1.0	1.0	1.0	1.0	-1	-1	-1	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
72c8d5e7-e7d1-4b31-99c3-99644c7adff3	1.0	0.0	0.0	0.0	1.0	0.0	0.0	-1	1.0	0.5	0.0	1.0	-1	1.0	1.0
035b8ba0-376f-48cf-93ce-d6b395c7811b	1.0	-1	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	-1	-1	1.0	1.0
5dcedeae-936b-4e51-8798-b6c83a65cd77	1.0	-1	0.0	0.0	-1	0.0	0.0	0.0	1.0	1.0	0.931034482759	1.0	1.0	1.0	1.0
5f314d77-4e55-49d2-8f28-18356d3e1250	0.0	0.0	1.0	1.0	-1	0.0	-1	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0
27b03a00-5b8d-4565-8e58-afafb546c255	1.0	1.0	-1	0.2	1.0	0.0	0.0	0.0	1.0	1.0	0.928571428571	1.0	1.0	1.0	1.0
6282ec4d-e41f-4aa9-b000-ccdff599e0a2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.741935483871	0.0	1.0	0.0	1.0
34d2fd08-9bbf-4948-88c6-183864116d6d	1.0	1.0	-1	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.970588235294	-1	1.0	1.0	1.0
e793adfd-9b59-46ff-8f09-24d6eec763ec	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.964285714286	1.0	1.0	1.0	1.0
55617778-d77e-4532-be49-1cf9f1e168f4	0.272727272727	-1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0
5bc9e83c-7c2a-4771-8872-6efcbeb00e8d	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.903225806452	-1	1.0	1.0	1.0
f22c10c4-e5eb-481a-ae8d-9d8a42a604ba	0.0	0.0	0.0	1.0	-1	0.0	0.0	0.0	0.0	1.0	1.0	0.0	-1	0.0	0.761904761905
f42b1ba1-d57a-4ee0-83e2-a83134df2ef4	0.125	0.0	1.0	1.0	-1	0.0	0.0	1.0	0.0	-1	0.961538461538	0.0	-1	0.0	0.0555555555556
9bbf91f1-b259-4dbb-bfd9-d3c3bc5f9ec1	0.0	0.0	1.0	1.0	0.0	0.0	1.0	-1	0.0	0.0	1.0	0.0	1.0	0.0	0.521739130435
8c23a915-76f3-4599-adee-16ddbe5e041f	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.821428571429	1.0	1.0	1.0	1.0
754286a2-6b56-4ded-84f9-9e3ee92c374a	0.0	0.0	1.0	1.0	1.0	1.0	0.0	-1	0.0	1.0	1.0	-1	1.0	0.0	0.0
8b59269f-b5f6-4221-b113-2b7a6a7ea708	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	-1	0.0	1.0	-1	0.0	0.0	0.888888888889
23d630ef-fd10-4f95-8caa-254d08280541	1.0	1.0	1.0	1.0	1.0	0.0	0.0	-1	1.0	1.0	1.0	1.0	1.0	1.0	1.0
f1a0b307-e891-4e17-9e10-1e811474b2bc	0.0	0.0	-1	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.884615384615
20ef0ba6-4336-4f20-98c3-9493dee4e314	0.222222222222	0.0	-1	0.6	0.0	0.0	-1	0.0	0.0	0.0	0.941176470588	0.0	0.0	0.0	0.0
33a6a8e2-4054-4aee-a29e-49605822df7b	1.0	1.0	1.0	1.0	1.0	-1	1.0	1.0	-1	1.0	1.0	-1	1.0	1.0	1.0
91aee230-2ac2-4bca-a90b-3c9c11ded2b3	1.0	1.0	0.0	0.0	-1	-1	1.0	0.0	1.0	-1	0.969696969697	1.0	1.0	1.0	1.0
7f9f7412-a2ed-4105-90ff-bc4d93ddfd23	1.0	1.0	1.0	0.25	1.0	0.0	-1	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
4ce57300-12e9-4079-911a-3bf65871298e	1.0	-1	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	-1	1.0	1.0
06056f7f-4eba-45df-959d-ffeb94e950ec	0.888888888889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1	-1	1.0	0.0
eb867da0-2d64-4489-a1f7-1cb1786da00c	1.0	1.0	-1	0.25	1.0	0.0	0.0	0.0	1.0	0.5	0.866666666667	1.0	0.0	1.0	1.0
78c330d6-09c6-47a4-982f-a67146262776	1.0	1.0	1.0	1.0	-1	-1	1.0	1.0	1.0	1.0	1.0	-1	1.0	1.0	1.0
2436eb70-9eb4-4cb6-999f-b6d2ad59782e	0.857142857143	1.0	-1	0.0	1.0	-1	-1	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
0770479e-7b07-4b2b-acd0-6eb16890d047	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b9ff31f2-2c6f-4747-bf1a-816275aef4dc	1.0	-1	1.0	1.0	0.0	-1	0.0	0.0	-1	1.0	1.0	-1	1.0	1.0	1.0
2c27f2a1-ba90-4067-bc52-a114e55acada	0.0	0.0	1.0	0.0	-1	0.0	0.0	0.0	0.0	-1	0.967741935484	0.0	1.0	0.0	0.923076923077
e558742d-efc7-47ac-bdc2-4b56ff5d4dd1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	-1	1.0	1.0	1.0	-1	1.0	1.0	1.0
d8c26d11-f8ff-419f-a200-dfa7e5d9696e	1.0	1.0	1.0	1.0	0.0	0.0	-1	0.0	1.0	1.0	0.84	1.0	1.0	1.0	1.0
bd8e7e4b-6fab-4bdb-aa95-0598ad7de73c	1.0	-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	-1	1.0
9183f4af-06fa-42ad-8bc2-0e412ff32f75	1.0	1.0	1.0	0.0	1.0	-1	-1	0.0	1.0	-1	0.4	1.0	1.0	1.0	1.0
22c576c1-0bcb-4107-acce-510f147e66dc	1.0	1.0	-1	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.935483870968	1.0	1.0	1.0	1.0
c8ae2d7c-7a0b-459c-99c6-7ddcb9f22adb	1.0	1.0	-1	0.2	1.0	0.0	0.0	-1	1.0	1.0	1.0	1.0	1.0	1.0	1.0
de62a93e-52ef-4c52-af30-88ee2c9fdbe2	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	-1	1.0	0.911764705882	1.0	1.0	1.0	1.0
dd9837cd-1699-4929-9539-7ccd6546c103	1.0	1.0	1.0	0.25	-1	-1	-1	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0
0fa40696-9a07-4770-bddd-338db1509a69	1.0	1.0	0.0	1.0	-1	1.0	-1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
8828c12c-acef-4a91-bf01-fa1decad442f	0.0	0.0	1.0	1.0	-1	1.0	0.0	1.0	0.0	0.0	0.0294117647059	0.0	0.0	0.0	0.0
3017adbf-e55e-4914-ad2f-47744e7719f7	1.0	1.0	1.0	0.2	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	-1	1.0
