poll	'ALFA_FAMILIEN.PARTEI_EKR'	'AfD_EFFD'	'AfD_ENF'	'CDU_CSU_EVP'	'GRUENE_PIRATEN_ODP_EFA'	'LINKE_GUE_NGL'	'FDP_FREIE.WAEHLER_ALDE'	'GUE_NGL'	'SPD_S.D'	'fraktionslos'
2018-10-23-5a8c8da9-aec3-4170-9d52-8f051e68123f	1.0	0.0	0.0	0.5357142857142857	1.0	1.0	1.0	-1	1.0	1.0
2018-10-24-277599c2-6d75-4593-9a33-dd94d25871dd	0.4	0.0	0.0	0.9	1.0	1.0	1.0	1.0	1.0	1.0
2018-09-12-e581a2f9-992a-401e-b488-732037fb9028	0.0	0.0	0.0	0.8275862068965517	1.0	1.0	1.0	1.0	1.0	0.5
2018-09-12-6df607b7-8f25-47d5-903e-36f6560f592c	0.6666666666666666	0.0	0.0	1.0	0.46153846153846156	0.0	0.6666666666666666	0.0	0.6956521739130435	0.0
2018-07-03-a20356f9-a8f6-4093-ab58-1cf336d4f871	0.16666666666666666	0.0	0.0	1.0	1.0	1.0	-1	1.0	1.0	0.5
2018-07-04-8828c12c-acef-4a91-bf01-fa1decad442f	1.0	1.0	1.0	0.029411764705882353	0.0	0.0	0.0	0.0	0.0	0.0
2018-07-04-d8c26d11-f8ff-419f-a200-dfa7e5d9696e	1.0	0.0	0.0	0.84	1.0	1.0	1.0	1.0	1.0	0.0
2018-07-04-79827e13-54e9-48c4-a249-c2190a01e5b6	0.0	0.0	0.0	1.0	0.15384615384615385	0.0	0.5	0.0	1.0	0.0
2018-07-03-5bc9e83c-7c2a-4771-8872-6efcbeb00e8d	0.16666666666666666	0.0	0.0	0.9032258064516129	1.0	1.0	1.0	-1	1.0	0.0
2018-07-03-22c576c1-0bcb-4107-acce-510f147e66dc	0.0	0.0	0.0	0.9354838709677419	1.0	1.0	1.0	1.0	1.0	0.5
2018-05-03-299d2467-520f-4d6c-9273-93b2f95719f8	0.8333333333333334	-1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2018-05-03-5901f8e8-6515-4b71-8b49-0b6a93c87279	0.0	0.0	0.0	0.03125	1.0	1.0	1.0	1.0	1.0	1.0
2018-06-13-29540433-69b2-4a60-9d7b-5bf47bed9ee8	0.4	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.9411764705882353	0.5
2018-05-31-23d630ef-fd10-4f95-8caa-254d08280541	1.0	0.0	-1	1.0	1.0	1.0	1.0	1.0	1.0	0.5
2018-07-05-e0573489-7fb9-45f0-93ec-b6f4f33c7d4b	0.5	0.0	0.0	1.0	0.3	0.0	0.0	0.0	0.0	0.0
2018-04-18-ac895b89-d823-4d68-bac8-f12f6720387f	0.0	0.0	0.0	0.9375	1.0	1.0	1.0	1.0	1.0	-1
2018-04-18-896d73ab-7180-4f96-a891-f3f34d080470	0.0	1.0	1.0	1.0	1.0	1.0	1.0	-1	1.0	-1
2018-05-03-7f9f7412-a2ed-4105-90ff-bc4d93ddfd23	0.4	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2018-04-17-27b03a00-5b8d-4565-8e58-afafb546c255	0.2	0.0	0.0	0.9285714285714286	1.0	1.0	1.0	1.0	1.0	0.5
2018-04-17-fdf2cb7b-4680-4015-b527-3ab21fd8a49f	1.0	0.0	0.0	0.9666666666666667	1.0	1.0	1.0	1.0	1.0	0.0
2018-04-19-5b7adca6-5b6b-45a7-a5da-d0ed94d3448d	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	-1
2018-03-13-5dcedeae-936b-4e51-8798-b6c83a65cd77	0.0	0.0	0.0	0.9310344827586207	1.0	1.0	1.0	1.0	1.0	0.0
2018-01-16-13befa08-99ea-4b67-9db2-34d9e3f128a8	1.0	0.0	0.0	0.9354838709677419	0.9230769230769231	1.0	1.0	1.0	1.0	1.0
2018-03-01-fbf77ecf-2d7f-414f-83d0-3d55e6eeb186	0.0	0.0	-1	1.0	1.0	0.6666666666666666	1.0	-1	0.9545454545454546	0.5
2018-03-01-e558742d-efc7-47ac-bdc2-4b56ff5d4dd1	1.0	1.0	-1	1.0	1.0	1.0	1.0	-1	1.0	1.0
2018-03-14-683bc9be-d2c9-428f-b57f-b02f22f7b81a	0.2	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
2018-01-17-de62a93e-52ef-4c52-af30-88ee2c9fdbe2	1.0	0.0	0.0	0.9117647058823529	1.0	-1	1.0	1.0	1.0	0.5
2017-11-16-75998fad-a01d-4538-8145-5ecae20b5ec4	0.2	-1	0.0	0.9523809523809523	1.0	1.0	1.0	1.0	1.0	0.0
2018-02-07-6282ec4d-e41f-4aa9-b000-ccdff599e0a2	0.0	0.0	0.0	0.7419354838709677	0.0	0.0	1.0	0.0	1.0	0.0
2017-09-14-30a68fb6-4749-43c6-9f39-a1c19912cfa6	1.0	-1	-1	0.0	1.0	1.0	1.0	1.0	1.0	1.0
2017-02-15-f22c10c4-e5eb-481a-ae8d-9d8a42a604ba	0.8333333333333334	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.7619047619047619	0.0
2016-10-25-72d19836-8d9d-4f95-a8bb-0c0b89be5c06	0.0	0.0	0.0	0.0	1.0	1.0	0.75	-1	1.0	0.0
2016-11-24-5ec1c8eb-b80b-4a18-a0cb-c2054067ba2e	1.0	0.0	-1	0.9285714285714286	0.9230769230769231	1.0	1.0	1.0	1.0	0.5
2016-04-28-0705670c-1e29-4056-b4f2-6c2ff82a9e47	1.0	1.0	1.0	0.4230769230769231	1.0	1.0	1.0	1.0	1.0	0.0
2016-04-28-29160dca-2641-436f-b9b3-dc07b633454c	0.0	0.0	0.0	0.6875	1.0	1.0	1.0	1.0	1.0	1.0
2016-04-13-20b545ab-e31f-4404-ba34-fed1f163cce2	0.16666666666666666	0.0	-1	1.0	-1	0.0	0.0	0.0	1.0	0.5
2016-04-14-9bbf91f1-b259-4dbb-bfd9-d3c3bc5f9ec1	1.0	0.0	-1	1.0	0.0	0.0	0.25	0.0	0.5217391304347826	0.5
