Wahlperiode,Sitzungnr,Abstimmnr,Fraktion/Gruppe,Name,Vorname,Titel,ja,nein,Enthaltung,ungültig,nichtabgegeben,Bezeichnung,Bemerkung
20,109,4,SPD,Abdi,Sanae,,1,0,0,0,0,Sanae Abdi,
20,109,4,SPD,Ahmetovic,Adis,,1,0,0,0,0,Adis Ahmetovic,
20,109,4,SPD,Alabali-Radovan,Reem,,1,0,0,0,0,Reem Alabali-Radovan,
20,109,4,SPD,Andres,Dagmar,,1,0,0,0,0,Dagmar Andres,
20,109,4,SPD,Annen,Niels,,1,0,0,0,0,Niels Annen,
20,109,4,SPD,Arlt,Johannes,,1,0,0,0,0,Johannes Arlt,
20,109,4,SPD,Baehrens,Heike,,1,0,0,0,0,Heike Baehrens,
20,109,4,SPD,Bahr,Ulrike,,1,0,0,0,0,Ulrike Bahr,
20,109,4,SPD,Baldy,Daniel,,1,0,0,0,0,Daniel Baldy,
20,109,4,SPD,Baradari,Nezahat,,1,0,0,0,0,Nezahat Baradari,
20,109,4,SPD,Bartol,Sören,,1,0,0,0,0,Sören Bartol,
20,109,4,SPD,Bartz,Alexander,,1,0,0,0,0,Alexander Bartz,
20,109,4,SPD,Bas,Bärbel,,1,0,0,0,0,Bärbel Bas,
20,109,4,SPD,Becker,Holger,,1,0,0,0,0,Dr. Holger Becker,
20,109,4,SPD,Berghahn,Jürgen,,1,0,0,0,0,Jürgen Berghahn,
20,109,4,SPD,Bergt,Bengt,,1,0,0,0,0,Bengt Bergt,
20,109,4,SPD,Blankenburg,Jakob,,1,0,0,0,0,Jakob Blankenburg,
20,109,4,SPD,Breymaier,Leni,,1,0,0,0,0,Leni Breymaier,
20,109,4,SPD,Budde,Katrin,,1,0,0,0,0,Katrin Budde,
20,109,4,SPD,Cademartori Dujisin,Isabel,,1,0,0,0,0,Isabel Cademartori Dujisin,
20,109,4,SPD,Castellucci,Lars,,1,0,0,0,0,Dr. Lars Castellucci,
20,109,4,SPD,Coße,Jürgen,,1,0,0,0,0,Jürgen Coße,
20,109,4,SPD,Daldrup,Bernhard,,1,0,0,0,0,Bernhard Daldrup,
20,109,4,SPD,De Ridder,Daniela,,1,0,0,0,0,Dr. Daniela De Ridder,
20,109,4,SPD,Demir,Hakan,,1,0,0,0,0,Hakan Demir,
20,109,4,SPD,Diaby,Karamba,,1,0,0,0,0,Dr. Karamba Diaby,
20,109,4,SPD,Diedenhofen,Martin,,1,0,0,0,0,Martin Diedenhofen,
20,109,4,SPD,Dieren,Jan,,1,0,0,0,0,Jan Dieren,
20,109,4,SPD,Dilcher,Esther,,1,0,0,0,0,Esther Dilcher,
20,109,4,SPD,Dittmar,Sabine,,1,0,0,0,0,Sabine Dittmar,
20,109,4,SPD,Döring,Felix,,1,0,0,0,0,Felix Döring,
20,109,4,SPD,Droßmann,Falko,,1,0,0,0,0,Falko Droßmann,
20,109,4,SPD,Echeverria,Axel,,1,0,0,0,0,Axel Echeverria,
20,109,4,SPD,Eichwede,Sonja,,1,0,0,0,0,Sonja Eichwede,
20,109,4,SPD,Engelhardt,Heike,,1,0,0,0,0,Heike Engelhardt,
20,109,4,SPD,Esdar,Wiebke,,1,0,0,0,0,Dr. Wiebke Esdar,
20,109,4,SPD,Esken,Saskia,,0,0,0,0,1,Saskia Esken,
20,109,4,SPD,Fäscher,Ariane,,1,0,0,0,0,Ariane Fäscher,
20,109,4,SPD,Fechner,Johannes,,1,0,0,0,0,Dr. Johannes Fechner,
20,109,4,SPD,Fiedler,Sebastian,,1,0,0,0,0,Sebastian Fiedler,
20,109,4,SPD,Franke,Edgar,,1,0,0,0,0,Dr. Edgar Franke,
20,109,4,SPD,Funke,Fabian,,1,0,0,0,0,Fabian Funke,
20,109,4,SPD,Gava,Manuel,,0,0,0,0,1,Manuel Gava,
20,109,4,SPD,Gerdes,Michael,,1,0,0,0,0,Michael Gerdes,
20,109,4,SPD,Gerster,Martin,,1,0,0,0,0,Martin Gerster,
20,109,4,SPD,Glöckner,Angelika,,1,0,0,0,0,Angelika Glöckner,
20,109,4,SPD,Gremmels,Timon,,1,0,0,0,0,Timon Gremmels,
20,109,4,SPD,Griese,Kerstin,,1,0,0,0,0,Kerstin Griese,
20,109,4,SPD,Grötsch,Uli,,1,0,0,0,0,Uli Grötsch,
20,109,4,SPD,Hagedorn,Bettina,,1,0,0,0,0,Bettina Hagedorn,
20,109,4,SPD,Hagl-Kehl,Rita,,1,0,0,0,0,Rita Hagl-Kehl,
20,109,4,SPD,Hakverdi,Metin,,1,0,0,0,0,Metin Hakverdi,
20,109,4,SPD,Hartmann,Sebastian,,1,0,0,0,0,Sebastian Hartmann,
20,109,4,SPD,Heidenblut,Dirk,,1,0,0,0,0,Dirk Heidenblut,
20,109,4,SPD,Heil (Peine),Hubertus,,1,0,0,0,0,Hubertus Heil (Peine),
20,109,4,SPD,Heiligenstadt,Frauke,,1,0,0,0,0,Frauke Heiligenstadt,
20,109,4,SPD,Heinrich,Gabriela,,1,0,0,0,0,Gabriela Heinrich,
20,109,4,SPD,Hellmich,Wolfgang,,1,0,0,0,0,Wolfgang Hellmich,
20,109,4,SPD,Hennig,Anke,,1,0,0,0,0,Anke Hennig,
20,109,4,SPD,Heselhaus,Nadine,,1,0,0,0,0,Nadine Heselhaus,
20,109,4,SPD,Hitschler,Thomas,,1,0,0,0,0,Thomas Hitschler,
20,109,4,SPD,Hostert,Jasmina,,1,0,0,0,0,Jasmina Hostert,
20,109,4,SPD,Hubertz,Verena,,1,0,0,0,0,Verena Hubertz,
20,109,4,SPD,Hümpfer,Markus,,1,0,0,0,0,Markus Hümpfer,
20,109,4,SPD,Junge,Frank,,1,0,0,0,0,Frank Junge,
20,109,4,SPD,Juratovic,Josip,,1,0,0,0,0,Josip Juratovic,
20,109,4,SPD,Kaczmarek,Oliver,,1,0,0,0,0,Oliver Kaczmarek,
20,109,4,SPD,Kaiser,Elisabeth,,0,0,0,0,1,Elisabeth Kaiser,
20,109,4,SPD,Karaahmetoglu,Macit,,1,0,0,0,0,Macit Karaahmetoglu,
20,109,4,SPD,Kasper,Carlos,,1,0,0,0,0,Carlos Kasper,
20,109,4,SPD,Kassautzki,Anna,,1,0,0,0,0,Anna Kassautzki,
20,109,4,SPD,Katzmarek,Gabriele,,1,0,0,0,0,Gabriele Katzmarek,
20,109,4,SPD,Kersten,Franziska,,1,0,0,0,0,Dr. Franziska Kersten,
20,109,4,SPD,Kleebank,Helmut,,1,0,0,0,0,Helmut Kleebank,
20,109,4,SPD,Klinck,Kristian,,1,0,0,0,0,Dr. Kristian Klinck,
20,109,4,SPD,Klingbeil,Lars,,1,0,0,0,0,Lars Klingbeil,
20,109,4,SPD,Klose,Annika,,1,0,0,0,0,Annika Klose,
20,109,4,SPD,Klüssendorf,Tim,,1,0,0,0,0,Tim Klüssendorf,
20,109,4,SPD,Kofler,Bärbel,,1,0,0,0,0,Dr. Bärbel Kofler,
20,109,4,SPD,Koß,Simona,,1,0,0,0,0,Simona Koß,
20,109,4,SPD,Kramme,Anette,,1,0,0,0,0,Anette Kramme,
20,109,4,SPD,Kreiser,Dunja,,1,0,0,0,0,Dunja Kreiser,
20,109,4,SPD,Kröber,Martin,,1,0,0,0,0,Martin Kröber,
20,109,4,SPD,Kühnert,Kevin,,1,0,0,0,0,Kevin Kühnert,
20,109,4,SPD,Lahrkamp,Sarah,,1,0,0,0,0,Sarah Lahrkamp,
20,109,4,SPD,Larem,Andreas,,1,0,0,0,0,Andreas Larem,
20,109,4,SPD,Lauterbach,Karl,,1,0,0,0,0,Dr. Karl Lauterbach,
20,109,4,SPD,Lehmann,Sylvia,,1,0,0,0,0,Sylvia Lehmann,
20,109,4,SPD,Leiser,Kevin,,1,0,0,0,0,Kevin Leiser,
20,109,4,SPD,Licina-Bode,Luiza,,1,0,0,0,0,Luiza Licina-Bode,
20,109,4,SPD,Limbacher,Esra,,1,0,0,0,0,Esra Limbacher,
20,109,4,SPD,Lindh,Helge,,1,0,0,0,0,Helge Lindh,
20,109,4,SPD,Lugk,Bettina,,1,0,0,0,0,Bettina Lugk,
20,109,4,SPD,Machalet,Tanja,,1,0,0,0,0,Dr. Tanja Machalet,
20,109,4,SPD,Mackensen-Geis,Isabel,,1,0,0,0,0,Isabel Mackensen-Geis,
20,109,4,SPD,Malottki,Erik,von,1,0,0,0,0,Erik von Malottki,
20,109,4,SPD,Mann,Holger,,1,0,0,0,0,Holger Mann,
20,109,4,SPD,Mansoori,Kaweh,,1,0,0,0,0,Kaweh Mansoori,
20,109,4,SPD,Martens,Zanda,,1,0,0,0,0,Dr. Zanda Martens,
20,109,4,SPD,Martin,Dorothee,,1,0,0,0,0,Dorothee Martin,
20,109,4,SPD,Marvi,Parsa,,1,0,0,0,0,Parsa Marvi,
20,109,4,SPD,Mascheck,Franziska,,1,0,0,0,0,Franziska Mascheck,
20,109,4,SPD,Mast,Katja,,1,0,0,0,0,Katja Mast,
20,109,4,SPD,Mehltretter,Andreas,,1,0,0,0,0,Andreas Mehltretter,
20,109,4,SPD,Mehmet Ali,Takis,,1,0,0,0,0,Takis Mehmet Ali,
20,109,4,SPD,Mende,Dirk-Ulrich,,1,0,0,0,0,Dirk-Ulrich Mende,
20,109,4,SPD,Mesarosch,Robin,,0,0,0,0,1,Robin Mesarosch,
20,109,4,SPD,Michel,Kathrin,,1,0,0,0,0,Kathrin Michel,
20,109,4,SPD,Miersch,Matthias,,1,0,0,0,0,Dr. Matthias Miersch,
20,109,4,SPD,Mieves,Matthias David,,1,0,0,0,0,Matthias David Mieves,
20,109,4,SPD,Mittag,Susanne,,1,0,0,0,0,Susanne Mittag,
20,109,4,SPD,Moll,Claudia,,1,0,0,0,0,Claudia Moll,
20,109,4,SPD,Möller,Siemtje,,1,0,0,0,0,Siemtje Möller,
20,109,4,SPD,Müller,Bettina,,0,0,0,0,1,Bettina Müller,
20,109,4,SPD,Müller,Michael,,1,0,0,0,0,Michael Müller,
20,109,4,SPD,Müller (Chemnitz),Detlef,,1,0,0,0,0,Detlef Müller (Chemnitz),
20,109,4,SPD,Müntefering,Michelle,,1,0,0,0,0,Michelle Müntefering,
20,109,4,SPD,Mützenich,Rolf,,1,0,0,0,0,Dr. Rolf Mützenich,
20,109,4,SPD,Nasr,Rasha,,1,0,0,0,0,Rasha Nasr,
20,109,4,SPD,Nickholz,Brian,,1,0,0,0,0,Brian Nickholz,
20,109,4,SPD,Nietan,Dietmar,,0,0,0,0,1,Dietmar Nietan,
20,109,4,SPD,Nürnberger,Jörg,,1,0,0,0,0,Jörg Nürnberger,
20,109,4,SPD,Oehl,Lennard,,1,0,0,0,0,Lennard Oehl,
20,109,4,SPD,Ortleb,Josephine,,1,0,0,0,0,Josephine Ortleb,
20,109,4,SPD,Özdemir (Duisburg),Mahmut,,1,0,0,0,0,Mahmut Özdemir (Duisburg),
20,109,4,SPD,Özoguz,Aydan,,1,0,0,0,0,Aydan Özoguz,
20,109,4,SPD,Pantazis,Christos,,1,0,0,0,0,Dr. Christos Pantazis,
20,109,4,SPD,Papenbrock,Wiebke,,1,0,0,0,0,Wiebke Papenbrock,
20,109,4,SPD,Papendieck,Mathias,,1,0,0,0,0,Mathias Papendieck,
20,109,4,SPD,Pawlik,Natalie,,0,0,0,0,1,Natalie Pawlik,
20,109,4,SPD,Peick,Jens,,1,0,0,0,0,Jens Peick,
