Wahlperiode,Sitzungnr,Abstimmnr,Fraktion/Gruppe,Name,Vorname,Titel,ja,nein,Enthaltung,ungültig,nichtabgegeben,Bezeichnung,Bemerkung
20,47,5,SPD,Abdi,Sanae,,1,0,0,0,0,Sanae Abdi,
20,47,5,SPD,Ahmetovic,Adis,,1,0,0,0,0,Adis Ahmetovic,
20,47,5,SPD,Alabali-Radovan,Reem,,1,0,0,0,0,Reem Alabali-Radovan,
20,47,5,SPD,Andres,Dagmar,,1,0,0,0,0,Dagmar Andres,
20,47,5,SPD,Annen,Niels,,1,0,0,0,0,Niels Annen,
20,47,5,SPD,Arlt,Johannes,,1,0,0,0,0,Johannes Arlt,
20,47,5,SPD,Baehrens,Heike,,1,0,0,0,0,Heike Baehrens,
20,47,5,SPD,Bahr,Ulrike,,1,0,0,0,0,Ulrike Bahr,
20,47,5,SPD,Baldy,Daniel,,1,0,0,0,0,Daniel Baldy,
20,47,5,SPD,Baradari,Nezahat,,1,0,0,0,0,Nezahat Baradari,
20,47,5,SPD,Bartol,Sören,,1,0,0,0,0,Sören Bartol,
20,47,5,SPD,Bas,Bärbel,,1,0,0,0,0,Bärbel Bas,
20,47,5,SPD,Becker,Holger,,1,0,0,0,0,Dr. Holger Becker,
20,47,5,SPD,Berghahn,Jürgen,,1,0,0,0,0,Jürgen Berghahn,
20,47,5,SPD,Bergt,Bengt,,1,0,0,0,0,Bengt Bergt,
20,47,5,SPD,Blankenburg,Jakob,,1,0,0,0,0,Jakob Blankenburg,
20,47,5,SPD,Breymaier,Leni,,1,0,0,0,0,Leni Breymaier,
20,47,5,SPD,Budde,Katrin,,1,0,0,0,0,Katrin Budde,
20,47,5,SPD,Cademartori Dujisin,Isabel,,1,0,0,0,0,Isabel Cademartori Dujisin,
20,47,5,SPD,Castellucci,Lars,,1,0,0,0,0,Dr. Lars Castellucci,
20,47,5,SPD,Coße,Jürgen,,1,0,0,0,0,Jürgen Coße,
20,47,5,SPD,Daldrup,Bernhard,,1,0,0,0,0,Bernhard Daldrup,
20,47,5,SPD,De Ridder,Daniela,,0,0,0,0,1,Dr. Daniela De Ridder,
20,47,5,SPD,Demir,Hakan,,1,0,0,0,0,Hakan Demir,
20,47,5,SPD,Diaby,Karamba,,1,0,0,0,0,Dr. Karamba Diaby,
20,47,5,SPD,Diedenhofen,Martin,,1,0,0,0,0,Martin Diedenhofen,
20,47,5,SPD,Dieren,Jan,,1,0,0,0,0,Jan Dieren,
20,47,5,SPD,Dilcher,Esther,,1,0,0,0,0,Esther Dilcher,
20,47,5,SPD,Dittmar,Sabine,,1,0,0,0,0,Sabine Dittmar,
20,47,5,SPD,Döring,Felix,,1,0,0,0,0,Felix Döring,
20,47,5,SPD,Droßmann,Falko,,1,0,0,0,0,Falko Droßmann,
20,47,5,SPD,Echeverria,Axel,,1,0,0,0,0,Axel Echeverria,
20,47,5,SPD,Eichwede,Sonja,,1,0,0,0,0,Sonja Eichwede,
20,47,5,SPD,Engelhardt,Heike,,1,0,0,0,0,Heike Engelhardt,
20,47,5,SPD,Esdar,Wiebke,,1,0,0,0,0,Dr. Wiebke Esdar,
20,47,5,SPD,Esken,Saskia,,1,0,0,0,0,Saskia Esken,
20,47,5,SPD,Fäscher,Ariane,,1,0,0,0,0,Ariane Fäscher,
20,47,5,SPD,Fechner,Johannes,,1,0,0,0,0,Dr. Johannes Fechner,
20,47,5,SPD,Fiedler,Sebastian,,1,0,0,0,0,Sebastian Fiedler,
20,47,5,SPD,Franke,Edgar,,1,0,0,0,0,Dr. Edgar Franke,
20,47,5,SPD,Funke,Fabian,,1,0,0,0,0,Fabian Funke,
20,47,5,SPD,Gava,Manuel,,0,0,0,0,1,Manuel Gava,
20,47,5,SPD,Gerdes,Michael,,1,0,0,0,0,Michael Gerdes,
20,47,5,SPD,Gerster,Martin,,1,0,0,0,0,Martin Gerster,
20,47,5,SPD,Glöckner,Angelika,,1,0,0,0,0,Angelika Glöckner,
20,47,5,SPD,Gremmels,Timon,,1,0,0,0,0,Timon Gremmels,
20,47,5,SPD,Griese,Kerstin,,0,0,0,0,1,Kerstin Griese,
20,47,5,SPD,Grötsch,Uli,,1,0,0,0,0,Uli Grötsch,
20,47,5,SPD,Hagedorn,Bettina,,1,0,0,0,0,Bettina Hagedorn,
20,47,5,SPD,Hagl-Kehl,Rita,,1,0,0,0,0,Rita Hagl-Kehl,
20,47,5,SPD,Hakverdi,Metin,,1,0,0,0,0,Metin Hakverdi,
20,47,5,SPD,Hartmann,Sebastian,,1,0,0,0,0,Sebastian Hartmann,
20,47,5,SPD,Heidenblut,Dirk,,1,0,0,0,0,Dirk Heidenblut,
20,47,5,SPD,Heil (Peine),Hubertus,,0,0,0,0,1,Hubertus Heil (Peine),
