Wahlperiode,Sitzungnr,Abstimmnr,Fraktion/Gruppe,Name,Vorname,Titel,ja,nein,Enthaltung,ungültig,nichtabgegeben,Bezeichnung,Bemerkung
20,155,3,SPD,Abdi,Sanae,,1,0,0,0,0,Sanae Abdi,
20,155,3,SPD,Ahmetovic,Adis,,0,0,0,0,1,Adis Ahmetovic,
20,155,3,SPD,Alabali-Radovan,Reem,,1,0,0,0,0,Reem Alabali-Radovan,
20,155,3,SPD,Andres,Dagmar,,0,0,0,0,1,Dagmar Andres,
20,155,3,SPD,Annen,Niels,,1,0,0,0,0,Niels Annen,
20,155,3,SPD,Arlt,Johannes,,1,0,0,0,0,Johannes Arlt,
20,155,3,SPD,Baehrens,Heike,,1,0,0,0,0,Heike Baehrens,
20,155,3,SPD,Bahr,Ulrike,,1,0,0,0,0,Ulrike Bahr,
20,155,3,SPD,Baldy,Daniel,,1,0,0,0,0,Daniel Baldy,
20,155,3,SPD,Baradari,Nezahat,,0,0,0,0,1,Nezahat Baradari,
20,155,3,SPD,Bartol,Sören,,1,0,0,0,0,Sören Bartol,
20,155,3,SPD,Bartz,Alexander,,1,0,0,0,0,Alexander Bartz,
20,155,3,SPD,Bas,Bärbel,,1,0,0,0,0,Bärbel Bas,
20,155,3,SPD,Becker,Holger,,1,0,0,0,0,Dr. Holger Becker,
20,155,3,SPD,Berghahn,Jürgen,,1,0,0,0,0,Jürgen Berghahn,
20,155,3,SPD,Bergt,Bengt,,1,0,0,0,0,Bengt Bergt,
20,155,3,SPD,Blankenburg,Jakob,,1,0,0,0,0,Jakob Blankenburg,
20,155,3,SPD,Breymaier,Leni,,1,0,0,0,0,Leni Breymaier,
20,155,3,SPD,Budde,Katrin,,1,0,0,0,0,Katrin Budde,
20,155,3,SPD,Cademartori Dujisin,Isabel,,1,0,0,0,0,Isabel Cademartori Dujisin,
20,155,3,SPD,Castellucci,Lars,,0,0,0,0,1,Dr. Lars Castellucci,
20,155,3,SPD,Coße,Jürgen,,0,0,0,0,1,Jürgen Coße,
20,155,3,SPD,Daldrup,Bernhard,,1,0,0,0,0,Bernhard Daldrup,
20,155,3,SPD,De Ridder,Daniela,,0,0,0,0,1,Dr. Daniela De Ridder,
20,155,3,SPD,Demir,Hakan,,1,0,0,0,0,Hakan Demir,
20,155,3,SPD,Diaby,Karamba,,1,0,0,0,0,Dr. Karamba Diaby,
20,155,3,SPD,Diedenhofen,Martin,,1,0,0,0,0,Martin Diedenhofen,
20,155,3,SPD,Dieren,Jan,,0,0,0,0,1,Jan Dieren,
20,155,3,SPD,Dilcher,Esther,,1,0,0,0,0,Esther Dilcher,
20,155,3,SPD,Dittmar,Sabine,,1,0,0,0,0,Sabine Dittmar,
20,155,3,SPD,Döring,Felix,,1,0,0,0,0,Felix Döring,
20,155,3,SPD,Droßmann,Falko,,1,0,0,0,0,Falko Droßmann,
20,155,3,SPD,Echeverria,Axel,,1,0,0,0,0,Axel Echeverria,
20,155,3,SPD,Eichwede,Sonja,,1,0,0,0,0,Sonja Eichwede,
20,155,3,SPD,Engelhardt,Heike,,1,0,0,0,0,Heike Engelhardt,
20,155,3,SPD,Esdar,Wiebke,,0,0,0,0,1,Dr. Wiebke Esdar,
20,155,3,SPD,Esken,Saskia,,0,0,0,0,1,Saskia Esken,
20,155,3,SPD,Fäscher,Ariane,,0,0,0,0,1,Ariane Fäscher,
20,155,3,SPD,Fechner,Johannes,,1,0,0,0,0,Dr. Johannes Fechner,
20,155,3,SPD,Fiedler,Sebastian,,1,0,0,0,0,Sebastian Fiedler,
20,155,3,SPD,Franke,Edgar,,1,0,0,0,0,Dr. Edgar Franke,
20,155,3,SPD,Funke,Fabian,,1,0,0,0,0,Fabian Funke,
20,155,3,SPD,Gava,Manuel,,0,0,0,0,1,Manuel Gava,
20,155,3,SPD,Gerdes,Michael,,1,0,0,0,0,Michael Gerdes,
20,155,3,SPD,Gerster,Martin,,1,0,0,0,0,Martin Gerster,
20,155,3,SPD,Glöckner,Angelika,,1,0,0,0,0,Angelika Glöckner,
20,155,3,SPD,Griese,Kerstin,,1,0,0,0,0,Kerstin Griese,
20,155,3,SPD,Grötsch,Uli,,1,0,0,0,0,Uli Grötsch,
20,155,3,SPD,Hagedorn,Bettina,,1,0,0,0,0,Bettina Hagedorn,
20,155,3,SPD,Hagl-Kehl,Rita,,1,0,0,0,0,Rita Hagl-Kehl,
20,155,3,SPD,Hakverdi,Metin,,1,0,0,0,0,Metin Hakverdi,
20,155,3,SPD,Hartmann,Sebastian,,1,0,0,0,0,Sebastian Hartmann,
20,155,3,SPD,Heidenblut,Dirk,,1,0,0,0,0,Dirk Heidenblut,
20,155,3,SPD,Heil (Peine),Hubertus,,1,0,0,0,0,Hubertus Heil (Peine),
20,155,3,SPD,Heiligenstadt,Frauke,,1,0,0,0,0,Frauke Heiligenstadt,
20,155,3,SPD,Heinrich,Gabriela,,1,0,0,0,0,Gabriela Heinrich,
20,155,3,SPD,Hellmich,Wolfgang,,1,0,0,0,0,Wolfgang Hellmich,
20,155,3,SPD,Hennig,Anke,,1,0,0,0,0,Anke Hennig,
20,155,3,SPD,Heselhaus,Nadine,,1,0,0,0,0,Nadine Heselhaus,
20,155,3,SPD,Hitschler,Thomas,,1,0,0,0,0,Thomas Hitschler,
20,155,3,SPD,Hostert,Jasmina,,1,0,0,0,0,Jasmina Hostert,
20,155,3,SPD,Hubertz,Verena,,1,0,0,0,0,Verena Hubertz,
20,155,3,SPD,Hümpfer,Markus,,1,0,0,0,0,Markus Hümpfer,
20,155,3,SPD,Junge,Frank,,1,0,0,0,0,Frank Junge,
20,155,3,SPD,Juratovic,Josip,,1,0,0,0,0,Josip Juratovic,
20,155,3,SPD,Kaczmarek,Oliver,,1,0,0,0,0,Oliver Kaczmarek,
20,155,3,SPD,Kaiser,Elisabeth,,1,0,0,0,0,Elisabeth Kaiser,
20,155,3,SPD,Karaahmetoglu,Macit,,1,0,0,0,0,Macit Karaahmetoglu,
20,155,3,SPD,Kasper,Carlos,,1,0,0,0,0,Carlos Kasper,
20,155,3,SPD,Kassautzki,Anna,,1,0,0,0,0,Anna Kassautzki,
20,155,3,SPD,Katzmarek,Gabriele,,1,0,0,0,0,Gabriele Katzmarek,
20,155,3,SPD,Kersten,Franziska,,1,0,0,0,0,Dr. Franziska Kersten,
20,155,3,SPD,Kleebank,Helmut,,1,0,0,0,0,Helmut Kleebank,
20,155,3,SPD,Klinck,Kristian,,1,0,0,0,0,Dr. Kristian Klinck,
20,155,3,SPD,Klingbeil,Lars,,0,0,0,0,1,Lars Klingbeil,
20,155,3,SPD,Klose,Annika,,1,0,0,0,0,Annika Klose,
20,155,3,SPD,Klüssendorf,Tim,,1,0,0,0,0,Tim Klüssendorf,
20,155,3,SPD,Kofler,Bärbel,,1,0,0,0,0,Dr. Bärbel Kofler,
20,155,3,SPD,Koß,Simona,,1,0,0,0,0,Simona Koß,
20,155,3,SPD,Kramme,Anette,,1,0,0,0,0,Anette Kramme,
20,155,3,SPD,Kreiser,Dunja,,1,0,0,0,0,Dunja Kreiser,
20,155,3,SPD,Kröber,Martin,,1,0,0,0,0,Martin Kröber,
