Wahlperiode,Sitzungnr,Abstimmnr,Fraktion/Gruppe,Name,Vorname,Titel,ja,nein,Enthaltung,ungültig,nichtabgegeben,Bezeichnung,Bemerkung
20,157,1,SPD,Abdi,Sanae,,1,0,0,0,0,Sanae Abdi,
20,157,1,SPD,Ahmetovic,Adis,,1,0,0,0,0,Adis Ahmetovic,
20,157,1,SPD,Alabali-Radovan,Reem,,1,0,0,0,0,Reem Alabali-Radovan,
20,157,1,SPD,Andres,Dagmar,,0,0,0,0,1,Dagmar Andres,
20,157,1,SPD,Annen,Niels,,1,0,0,0,0,Niels Annen,
20,157,1,SPD,Arlt,Johannes,,1,0,0,0,0,Johannes Arlt,
20,157,1,SPD,Baehrens,Heike,,1,0,0,0,0,Heike Baehrens,
20,157,1,SPD,Bahr,Ulrike,,1,0,0,0,0,Ulrike Bahr,
20,157,1,SPD,Baldy,Daniel,,1,0,0,0,0,Daniel Baldy,
20,157,1,SPD,Baradari,Nezahat,,1,0,0,0,0,Nezahat Baradari,
20,157,1,SPD,Bartol,Sören,,1,0,0,0,0,Sören Bartol,
20,157,1,SPD,Bartz,Alexander,,1,0,0,0,0,Alexander Bartz,
20,157,1,SPD,Bas,Bärbel,,1,0,0,0,0,Bärbel Bas,
20,157,1,SPD,Becker,Holger,,1,0,0,0,0,Dr. Holger Becker,
20,157,1,SPD,Berghahn,Jürgen,,1,0,0,0,0,Jürgen Berghahn,
20,157,1,SPD,Bergt,Bengt,,1,0,0,0,0,Bengt Bergt,
20,157,1,SPD,Blankenburg,Jakob,,1,0,0,0,0,Jakob Blankenburg,
20,157,1,SPD,Breymaier,Leni,,1,0,0,0,0,Leni Breymaier,
20,157,1,SPD,Budde,Katrin,,1,0,0,0,0,Katrin Budde,
20,157,1,SPD,Cademartori Dujisin,Isabel,,1,0,0,0,0,Isabel Cademartori Dujisin,
20,157,1,SPD,Castellucci,Lars,,1,0,0,0,0,Dr. Lars Castellucci,
20,157,1,SPD,Coße,Jürgen,,1,0,0,0,0,Jürgen Coße,
20,157,1,SPD,Daldrup,Bernhard,,1,0,0,0,0,Bernhard Daldrup,
20,157,1,SPD,De Ridder,Daniela,,0,0,0,0,1,Dr. Daniela De Ridder,
20,157,1,SPD,Demir,Hakan,,1,0,0,0,0,Hakan Demir,
