Wahlperiode,Sitzungnr,Abstimmnr,Fraktion/Gruppe,Name,Vorname,Titel,ja,nein,Enthaltung,ungültig,nichtabgegeben,Bezeichnung,Bemerkung
20,147,1,SPD,Abdi,Sanae,,0,1,0,0,0,Sanae Abdi,
20,147,1,SPD,Ahmetovic,Adis,,0,1,0,0,0,Adis Ahmetovic,
20,147,1,SPD,Alabali-Radovan,Reem,,0,1,0,0,0,Reem Alabali-Radovan,
20,147,1,SPD,Andres,Dagmar,,0,1,0,0,0,Dagmar Andres,
20,147,1,SPD,Annen,Niels,,0,1,0,0,0,Niels Annen,
20,147,1,SPD,Arlt,Johannes,,0,1,0,0,0,Johannes Arlt,
20,147,1,SPD,Baehrens,Heike,,0,1,0,0,0,Heike Baehrens,
20,147,1,SPD,Bahr,Ulrike,,0,1,0,0,0,Ulrike Bahr,
20,147,1,SPD,Baldy,Daniel,,0,1,0,0,0,Daniel Baldy,
20,147,1,SPD,Baradari,Nezahat,,0,1,0,0,0,Nezahat Baradari,
20,147,1,SPD,Bartol,Sören,,0,1,0,0,0,Sören Bartol,
20,147,1,SPD,Bartz,Alexander,,0,1,0,0,0,Alexander Bartz,
20,147,1,SPD,Bas,Bärbel,,0,1,0,0,0,Bärbel Bas,
20,147,1,SPD,Becker,Holger,,0,1,0,0,0,Dr. Holger Becker,
20,147,1,SPD,Berghahn,Jürgen,,0,1,0,0,0,Jürgen Berghahn,
20,147,1,SPD,Bergt,Bengt,,0,1,0,0,0,Bengt Bergt,
20,147,1,SPD,Blankenburg,Jakob,,0,1,0,0,0,Jakob Blankenburg,
20,147,1,SPD,Breymaier,Leni,,0,1,0,0,0,Leni Breymaier,
20,147,1,SPD,Budde,Katrin,,0,1,0,0,0,Katrin Budde,
20,147,1,SPD,Cademartori Dujisin,Isabel,,0,1,0,0,0,Isabel Cademartori Dujisin,
20,147,1,SPD,Castellucci,Lars,,0,1,0,0,0,Dr. Lars Castellucci,
20,147,1,SPD,Coße,Jürgen,,0,0,0,0,1,Jürgen Coße,
20,147,1,SPD,Daldrup,Bernhard,,0,1,0,0,0,Bernhard Daldrup,
20,147,1,SPD,De Ridder,Daniela,,0,1,0,0,0,Dr. Daniela De Ridder,
20,147,1,SPD,Demir,Hakan,,0,1,0,0,0,Hakan Demir,
20,147,1,SPD,Diaby,Karamba,,0,1,0,0,0,Dr. Karamba Diaby,
20,147,1,SPD,Diedenhofen,Martin,,0,1,0,0,0,Martin Diedenhofen,
20,147,1,SPD,Dieren,Jan,,0,1,0,0,0,Jan Dieren,
20,147,1,SPD,Dilcher,Esther,,0,1,0,0,0,Esther Dilcher,
20,147,1,SPD,Dittmar,Sabine,,0,1,0,0,0,Sabine Dittmar,
20,147,1,SPD,Döring,Felix,,0,1,0,0,0,Felix Döring,
20,147,1,SPD,Droßmann,Falko,,0,1,0,0,0,Falko Droßmann,
20,147,1,SPD,Echeverria,Axel,,0,1,0,0,0,Axel Echeverria,
20,147,1,SPD,Eichwede,Sonja,,0,1,0,0,0,Sonja Eichwede,
20,147,1,SPD,Engelhardt,Heike,,0,1,0,0,0,Heike Engelhardt,
20,147,1,SPD,Esdar,Wiebke,,0,1,0,0,0,Dr. Wiebke Esdar,
20,147,1,SPD,Esken,Saskia,,0,1,0,0,0,Saskia Esken,
20,147,1,SPD,Fäscher,Ariane,,0,1,0,0,0,Ariane Fäscher,
20,147,1,SPD,Fechner,Johannes,,0,1,0,0,0,Dr. Johannes Fechner,
20,147,1,SPD,Fiedler,Sebastian,,0,1,0,0,0,Sebastian Fiedler,
20,147,1,SPD,Franke,Edgar,,0,1,0,0,0,Dr. Edgar Franke,
20,147,1,SPD,Funke,Fabian,,0,1,0,0,0,Fabian Funke,
20,147,1,SPD,Gava,Manuel,,0,1,0,0,0,Manuel Gava,
20,147,1,SPD,Gerdes,Michael,,0,0,0,0,1,Michael Gerdes,
20,147,1,SPD,Gerster,Martin,,0,1,0,0,0,Martin Gerster,
20,147,1,SPD,Glöckner,Angelika,,0,1,0,0,0,Angelika Glöckner,
20,147,1,SPD,Gremmels,Timon,,0,0,0,0,1,Timon Gremmels,
20,147,1,SPD,Griese,Kerstin,,0,1,0,0,0,Kerstin Griese,
20,147,1,SPD,Grötsch,Uli,,0,1,0,0,0,Uli Grötsch,
20,147,1,SPD,Hagedorn,Bettina,,0,1,0,0,0,Bettina Hagedorn,
20,147,1,SPD,Hagl-Kehl,Rita,,0,1,0,0,0,Rita Hagl-Kehl,
20,147,1,SPD,Hakverdi,Metin,,0,1,0,0,0,Metin Hakverdi,
20,147,1,SPD,Hartmann,Sebastian,,0,1,0,0,0,Sebastian Hartmann,
20,147,1,SPD,Heidenblut,Dirk,,0,1,0,0,0,Dirk Heidenblut,
20,147,1,SPD,Heil (Peine),Hubertus,,0,1,0,0,0,Hubertus Heil (Peine),
20,147,1,SPD,Heiligenstadt,Frauke,,0,1,0,0,0,Frauke Heiligenstadt,
20,147,1,SPD,Heinrich,Gabriela,,0,1,0,0,0,Gabriela Heinrich,
20,147,1,SPD,Hellmich,Wolfgang,,0,1,0,0,0,Wolfgang Hellmich,
20,147,1,SPD,Hennig,Anke,,0,1,0,0,0,Anke Hennig,
20,147,1,SPD,Heselhaus,Nadine,,0,1,0,0,0,Nadine Heselhaus,
20,147,1,SPD,Hitschler,Thomas,,0,1,0,0,0,Thomas Hitschler,
20,147,1,SPD,Hostert,Jasmina,,0,1,0,0,0,Jasmina Hostert,
20,147,1,SPD,Hubertz,Verena,,0,1,0,0,0,Verena Hubertz,
20,147,1,SPD,Hümpfer,Markus,,0,1,0,0,0,Markus Hümpfer,
20,147,1,SPD,Junge,Frank,,0,1,0,0,0,Frank Junge,
20,147,1,SPD,Juratovic,Josip,,0,1,0,0,0,Josip Juratovic,
20,147,1,SPD,Kaczmarek,Oliver,,0,1,0,0,0,Oliver Kaczmarek,
20,147,1,SPD,Kaiser,Elisabeth,,0,1,0,0,0,Elisabeth Kaiser,
20,147,1,SPD,Karaahmetoglu,Macit,,0,1,0,0,0,Macit Karaahmetoglu,
20,147,1,SPD,Kasper,Carlos,,0,1,0,0,0,Carlos Kasper,
20,147,1,SPD,Kassautzki,Anna,,0,0,0,0,1,Anna Kassautzki,
20,147,1,SPD,Katzmarek,Gabriele,,0,1,0,0,0,Gabriele Katzmarek,
20,147,1,SPD,Kersten,Franziska,,0,1,0,0,0,Dr. Franziska Kersten,
20,147,1,SPD,Kleebank,Helmut,,0,1,0,0,0,Helmut Kleebank,
20,147,1,SPD,Klinck,Kristian,,0,1,0,0,0,Dr. Kristian Klinck,
20,147,1,SPD,Klingbeil,Lars,,0,1,0,0,0,Lars Klingbeil,
20,147,1,SPD,Klose,Annika,,0,1,0,0,0,Annika Klose,
20,147,1,SPD,Klüssendorf,Tim,,0,1,0,0,0,Tim Klüssendorf,
20,147,1,SPD,Kofler,Bärbel,,0,1,0,0,0,Dr. Bärbel Kofler,
20,147,1,SPD,Koß,Simona,,0,0,0,0,1,Simona Koß,
20,147,1,SPD,Kramme,Anette,,0,0,0,0,1,Anette Kramme,
20,147,1,SPD,Kreiser,Dunja,,0,1,0,0,0,Dunja Kreiser,
20,147,1,SPD,Kröber,Martin,,0,1,0,0,0,Martin Kröber,
20,147,1,SPD,Kühnert,Kevin,,0,1,0,0,0,Kevin Kühnert,
20,147,1,SPD,Lahrkamp,Sarah,,0,1,0,0,0,Sarah Lahrkamp,
20,147,1,SPD,Larem,Andreas,,0,1,0,0,0,Andreas Larem,
20,147,1,SPD,Lauterbach,Karl,,0,0,0,0,1,Dr. Karl Lauterbach,
20,147,1,SPD,Lehmann,Sylvia,,0,1,0,0,0,Sylvia Lehmann,
20,147,1,SPD,Leiser,Kevin,,0,1,0,0,0,Kevin Leiser,
20,147,1,SPD,Licina-Bode,Luiza,,0,1,0,0,0,Luiza Licina-Bode,
20,147,1,SPD,Limbacher,Esra,,0,1,0,0,0,Esra Limbacher,
20,147,1,SPD,Lindh,Helge,,0,1,0,0,0,Helge Lindh,
20,147,1,SPD,Lugk,Bettina,,0,1,0,0,0,Bettina Lugk,
20,147,1,SPD,Lutze,Thomas,,0,1,0,0,0,Thomas Lutze,
20,147,1,SPD,Machalet,Tanja,,0,1,0,0,0,Dr. Tanja Machalet,
20,147,1,SPD,Mackensen-Geis,Isabel,,0,1,0,0,0,Isabel Mackensen-Geis,
20,147,1,SPD,Malottki,Erik,von,0,1,0,0,0,Erik von Malottki,
20,147,1,SPD,Mann,Holger,,0,1,0,0,0,Holger Mann,
20,147,1,SPD,Mansoori,Kaweh,,0,0,0,0,1,Kaweh Mansoori,
20,147,1,SPD,Martens,Zanda,,0,1,0,0,0,Dr. Zanda Martens,
20,147,1,SPD,Martin,Dorothee,,0,1,0,0,0,Dorothee Martin,
20,147,1,SPD,Marvi,Parsa,,0,1,0,0,0,Parsa Marvi,
20,147,1,SPD,Mascheck,Franziska,,0,1,0,0,0,Franziska Mascheck,
20,147,1,SPD,Mast,Katja,,0,1,0,0,0,Katja Mast,
20,147,1,SPD,Mehltretter,Andreas,,0,1,0,0,0,Andreas Mehltretter,
20,147,1,SPD,Mehmet Ali,Takis,,0,1,0,0,0,Takis Mehmet Ali,
20,147,1,SPD,Mende,Dirk-Ulrich,,0,1,0,0,0,Dirk-Ulrich Mende,
20,147,1,SPD,Mesarosch,Robin,,0,1,0,0,0,Robin Mesarosch,
20,147,1,SPD,Michel,Kathrin,,0,1,0,0,0,Kathrin Michel,
20,147,1,SPD,Miersch,Matthias,,0,1,0,0,0,Dr. Matthias Miersch,
20,147,1,SPD,Mieves,Matthias David,,0,1,0,0,0,Matthias David Mieves,
20,147,1,SPD,Mittag,Susanne,,0,1,0,0,0,Susanne Mittag,
20,147,1,SPD,Moll,Claudia,,0,1,0,0,0,Claudia Moll,
20,147,1,SPD,Möller,Siemtje,,0,1,0,0,0,Siemtje Möller,
