Wahlperiode,Sitzungnr,Abstimmnr,Fraktion/Gruppe,Name,Vorname,Titel,ja,nein,Enthaltung,ungültig,nichtabgegeben,Bezeichnung,Bemerkung
20,15,1,SPD,Abdi,Sanae,,1,0,0,0,0,Sanae Abdi,
20,15,1,SPD,Ahmetovic,Adis,,1,0,0,0,0,Adis Ahmetovic,
20,15,1,SPD,Alabali-Radovan,Reem,,1,0,0,0,0,Reem Alabali-Radovan,
20,15,1,SPD,Andres,Dagmar,,1,0,0,0,0,Dagmar Andres,
20,15,1,SPD,Annen,Niels,,1,0,0,0,0,Niels Annen,
20,15,1,SPD,Arlt,Johannes,,1,0,0,0,0,Johannes Arlt,
20,15,1,SPD,Baehrens,Heike,,1,0,0,0,0,Heike Baehrens,
20,15,1,SPD,Bahr,Ulrike,,0,1,0,0,0,Ulrike Bahr,
20,15,1,SPD,Baldy,Daniel,,1,0,0,0,0,Daniel Baldy,
20,15,1,SPD,Baradari,Nezahat,,1,0,0,0,0,Nezahat Baradari,
20,15,1,SPD,Bartol,Sören,,1,0,0,0,0,Sören Bartol,
20,15,1,SPD,Bas,Bärbel,,1,0,0,0,0,Bärbel Bas,
20,15,1,SPD,Becker,Holger,,1,0,0,0,0,Dr. Holger Becker,
20,15,1,SPD,Berghahn,Jürgen,,1,0,0,0,0,Jürgen Berghahn,
20,15,1,SPD,Bergt,Bengt,,1,0,0,0,0,Bengt Bergt,
20,15,1,SPD,Blankenburg,Jakob,,1,0,0,0,0,Jakob Blankenburg,
20,15,1,SPD,Breymaier,Leni,,1,0,0,0,0,Leni Breymaier,
20,15,1,SPD,Budde,Katrin,,1,0,0,0,0,Katrin Budde,
20,15,1,SPD,Cademartori Dujisin,Isabel,,1,0,0,0,0,Isabel Cademartori Dujisin,
20,15,1,SPD,Castellucci,Lars,,1,0,0,0,0,Dr. Lars Castellucci,
20,15,1,SPD,Coße,Jürgen,,1,0,0,0,0,Jürgen Coße,
20,15,1,SPD,Daldrup,Bernhard,,1,0,0,0,0,Bernhard Daldrup,
20,15,1,SPD,Demir,Hakan,,1,0,0,0,0,Hakan Demir,
20,15,1,SPD,Diaby,Karamba,,1,0,0,0,0,Dr. Karamba Diaby,
20,15,1,SPD,Diedenhofen,Martin,,1,0,0,0,0,Martin Diedenhofen,
20,15,1,SPD,Dieren,Jan,,0,0,0,0,1,Jan Dieren,
20,15,1,SPD,Dilcher,Esther,,1,0,0,0,0,Esther Dilcher,
20,15,1,SPD,Dittmar,Sabine,,1,0,0,0,0,Sabine Dittmar,
20,15,1,SPD,Döring,Felix,,1,0,0,0,0,Felix Döring,
20,15,1,SPD,Droßmann,Falko,,1,0,0,0,0,Falko Droßmann,
20,15,1,SPD,Echeverria,Axel,,0,0,0,0,1,Axel Echeverria,
20,15,1,SPD,Eichwede,Sonja,,1,0,0,0,0,Sonja Eichwede,
20,15,1,SPD,Engelhardt,Heike,,1,0,0,0,0,Heike Engelhardt,
20,15,1,SPD,Esdar,Wiebke,,1,0,0,0,0,Dr. Wiebke Esdar,
20,15,1,SPD,Esken,Saskia,,1,0,0,0,0,Saskia Esken,
20,15,1,SPD,Fahimi,Yasmin,,0,0,0,0,1,Yasmin Fahimi,
20,15,1,SPD,Fäscher,Ariane,,1,0,0,0,0,Ariane Fäscher,
20,15,1,SPD,Fechner,Johannes,,1,0,0,0,0,Dr. Johannes Fechner,
20,15,1,SPD,Fiedler,Sebastian,,1,0,0,0,0,Sebastian Fiedler,
20,15,1,SPD,Franke,Edgar,,1,0,0,0,0,Dr. Edgar Franke,
20,15,1,SPD,Funke,Fabian,,1,0,0,0,0,Fabian Funke,
20,15,1,SPD,Gava,Manuel,,1,0,0,0,0,Manuel Gava,
20,15,1,SPD,Gerdes,Michael,,1,0,0,0,0,Michael Gerdes,
20,15,1,SPD,Gerster,Martin,,1,0,0,0,0,Martin Gerster,
