Wahlperiode,Sitzungnr,Abstimmnr,Fraktion/Gruppe,Name,Vorname,Titel,ja,nein,Enthaltung,ungültig,nichtabgegeben,Bezeichnung,Bemerkung
19,204,1,CDU/CSU,Abercron,Michael,von,1,0,0,0,0,Dr. Michael von Abercron,
19,204,1,CDU/CSU,Albani,Stephan,,1,0,0,0,0,Stephan Albani,
19,204,1,CDU/CSU,Altenkamp,Norbert Maria,,0,0,0,0,1,Norbert Maria Altenkamp,
19,204,1,CDU/CSU,Altmaier,Peter,,1,0,0,0,0,Peter Altmaier,
19,204,1,CDU/CSU,Amthor,Philipp,,1,0,0,0,0,Philipp Amthor,
19,204,1,CDU/CSU,Auernhammer,Artur,,1,0,0,0,0,Artur Auernhammer,
19,204,1,CDU/CSU,Aumer,Peter,,1,0,0,0,0,Peter Aumer,
19,204,1,CDU/CSU,Bär,Dorothee,,1,0,0,0,0,Dorothee Bär,
19,204,1,CDU/CSU,Bareiß,Thomas,,1,0,0,0,0,Thomas Bareiß,
19,204,1,CDU/CSU,Barthle,Norbert,,1,0,0,0,0,Norbert Barthle,
19,204,1,CDU/CSU,Beermann,Maik,,1,0,0,0,0,Maik Beermann,
19,204,1,CDU/CSU,Behrens (Börde),Manfred,,1,0,0,0,0,Manfred Behrens (Börde),
19,204,1,CDU/CSU,Bellmann,Veronika,,1,0,0,0,0,Veronika Bellmann,
19,204,1,CDU/CSU,Benning,Sybille,,1,0,0,0,0,Sybille Benning,
19,204,1,CDU/CSU,Berghegger,André,,1,0,0,0,0,Dr. André Berghegger,
19,204,1,CDU/CSU,Bernstein,Melanie,,1,0,0,0,0,Melanie Bernstein,
19,204,1,CDU/CSU,Bernstiel,Christoph,,1,0,0,0,0,Christoph Bernstiel,
19,204,1,CDU/CSU,Beyer,Peter,,1,0,0,0,0,Peter Beyer,
19,204,1,CDU/CSU,Biadacz,Marc,,1,0,0,0,0,Marc Biadacz,
19,204,1,CDU/CSU,Bilger,Steffen,,1,0,0,0,0,Steffen Bilger,
19,204,1,CDU/CSU,Bleser,Peter,,1,0,0,0,0,Peter Bleser,
19,204,1,CDU/CSU,Brackmann,Norbert,,0,0,0,0,1,Norbert Brackmann,
19,204,1,CDU/CSU,Brand (Fulda),Michael,,1,0,0,0,0,Michael Brand (Fulda),
19,204,1,CDU/CSU,Brandl,Reinhard,,1,0,0,0,0,Dr. Reinhard Brandl,
19,204,1,CDU/CSU,Braun,Helge,,0,0,0,0,1,Dr. Helge Braun,
19,204,1,CDU/CSU,Breher,Silvia,,0,0,0,0,1,Silvia Breher,
19,204,1,CDU/CSU,Brehm,Sebastian,,1,0,0,0,0,Sebastian Brehm,
19,204,1,CDU/CSU,Brehmer,Heike,,1,0,0,0,0,Heike Brehmer,
19,204,1,CDU/CSU,Brinkhaus,Ralph,,1,0,0,0,0,Ralph Brinkhaus,
19,204,1,CDU/CSU,Brodesser,Carsten,,1,0,0,0,0,Dr. Carsten Brodesser,
19,204,1,CDU/CSU,Connemann,Gitta,,1,0,0,0,0,Gitta Connemann,
19,204,1,CDU/CSU,Damerow,Astrid,,0,0,0,0,1,Astrid Damerow,
19,204,1,CDU/CSU,Dobrindt,Alexander,,1,0,0,0,0,Alexander Dobrindt,
19,204,1,CDU/CSU,Donth,Michael,,1,0,0,0,0,Michael Donth,
19,204,1,CDU/CSU,Dött,Marie-Luise,,1,0,0,0,0,Marie-Luise Dött,
19,204,1,CDU/CSU,Durz,Hansjörg,,1,0,0,0,0,Hansjörg Durz,
19,204,1,CDU/CSU,Erndl,Thomas,,1,0,0,0,0,Thomas Erndl,
19,204,1,CDU/CSU,Färber,Hermann,,1,0,0,0,0,Hermann Färber,
19,204,1,CDU/CSU,Feiler,Uwe,,1,0,0,0,0,Uwe Feiler,
19,204,1,CDU/CSU,Ferlemann,Enak,,1,0,0,0,0,Enak Ferlemann,
19,204,1,CDU/CSU,Fischer (Karlsruhe-Land),Axel E.,,0,0,0,0,1,Axel E. Fischer (Karlsruhe-Land),
19,204,1,CDU/CSU,Flachsbarth,Maria,,1,0,0,0,0,Dr. Maria Flachsbarth,
19,204,1,CDU/CSU,Frei,Thorsten,,1,0,0,0,0,Thorsten Frei,
19,204,1,CDU/CSU,Friedrich (Hof),Hans-Peter,,1,0,0,0,0,Dr. Hans-Peter Friedrich (Hof),
19,204,1,CDU/CSU,Frieser,Michael,,1,0,0,0,0,Michael Frieser,
19,204,1,CDU/CSU,Fuchtel,Hans-Joachim,,1,0,0,0,0,Hans-Joachim Fuchtel,
19,204,1,CDU/CSU,Gädechens,Ingo,,1,0,0,0,0,Ingo Gädechens,
19,204,1,CDU/CSU,Gebhart,Thomas,,1,0,0,0,0,Dr. Thomas Gebhart,
19,204,1,CDU/CSU,Gerig,Alois,,1,0,0,0,0,Alois Gerig,
19,204,1,CDU/CSU,Gienger,Eberhard,,1,0,0,0,0,Eberhard Gienger,
19,204,1,CDU/CSU,Gnodtke,Eckhard,,1,0,0,0,0,Eckhard Gnodtke,
19,204,1,CDU/CSU,Groden-Kranich,Ursula,,1,0,0,0,0,Ursula Groden-Kranich,
19,204,1,CDU/CSU,Gröhe,Hermann,,1,0,0,0,0,Hermann Gröhe,
19,204,1,CDU/CSU,Gröhler,Klaus-Dieter,,1,0,0,0,0,Klaus-Dieter Gröhler,
19,204,1,CDU/CSU,Grosse-Brömer,Michael,,1,0,0,0,0,Michael Grosse-Brömer,
19,204,1,CDU/CSU,Grotelüschen,Astrid,,1,0,0,0,0,Astrid Grotelüschen,
19,204,1,CDU/CSU,Grübel,Markus,,1,0,0,0,0,Markus Grübel,
19,204,1,CDU/CSU,Grund,Manfred,,1,0,0,0,0,Manfred Grund,
19,204,1,CDU/CSU,Grundmann,Oliver,,1,0,0,0,0,Oliver Grundmann,
19,204,1,CDU/CSU,Grütters,Monika,,1,0,0,0,0,Monika Grütters,
19,204,1,CDU/CSU,Güntzler,Fritz,,1,0,0,0,0,Fritz Güntzler,
19,204,1,CDU/CSU,Gutting,Olav,,1,0,0,0,0,Olav Gutting,
19,204,1,CDU/CSU,Haase,Christian,,1,0,0,0,0,Christian Haase,
19,204,1,CDU/CSU,Hahn,Florian,,1,0,0,0,0,Florian Hahn,
19,204,1,CDU/CSU,Hardt,Jürgen,,1,0,0,0,0,Jürgen Hardt,
19,204,1,CDU/CSU,Hauer,Matthias,,1,0,0,0,0,Matthias Hauer,
19,204,1,CDU/CSU,Hauptmann,Mark,,1,0,0,0,0,Mark Hauptmann,
19,204,1,CDU/CSU,Heider,Matthias,,0,0,0,0,1,Dr. Matthias Heider,
19,204,1,CDU/CSU,Heil,Mechthild,,1,0,0,0,0,Mechthild Heil,
19,204,1,CDU/CSU,Heilmann,Thomas,,1,0,0,0,0,Thomas Heilmann,
19,204,1,CDU/CSU,Heinrich (Chemnitz),Frank,,1,0,0,0,0,Frank Heinrich (Chemnitz),
19,204,1,CDU/CSU,Helfrich,Mark,,1,0,0,0,0,Mark Helfrich,
19,204,1,CDU/CSU,Henke,Rudolf,,1,0,0,0,0,Rudolf Henke,
19,204,1,CDU/CSU,Hennrich,Michael,,0,0,0,0,1,Michael Hennrich,
19,204,1,CDU/CSU,Henrichmann,Marc,,1,0,0,0,0,Marc Henrichmann,
